# size	times	seed	UAL	ULL	SAL	SLL	BST
100	100	345	59	30	14	56	12
200	200	345	116	57	17	110	14
300	300	345	169	84	21	170	16
400	400	345	229	111	23	219	17
500	500	345	284	139	26	276	16
600	600	345	337	166	29	330	16
700	700	345	394	192	32	383	17
800	800	345	451	226	34	442	18
900	900	345	504	246	38	500	17
1000	1000	345	561	275	40	547	18
1100	1100	345	621	303	43	607	18
1200	1200	345	681	335	45	661	18
1300	1300	345	741	360	49	716	18
1400	1400	345	795	392	51	772	19
1500	1500	345	866	421	54	826	18
1600	1600	345	913	451	57	880	22
1700	1700	345	973	484	59	938	20
1800	1800	345	1029	512	62	990	20
1900	1900	345	1083	540	64	1048	19
2000	2000	345	1146	567	68	1104	20
2100	2100	345	1210	597	70	1162	21
2200	2200	345	1263	640	72	1213	20
2300	2300	345	1316	652	75	1262	20
2400	2400	345	1373	685	78	1327	21
2500	2500	345	1445	711	81	1386	21
2600	2600	345	1515	741	83	1442	21
2700	2700	345	1537	769	85	1484	22
2800	2800	345	1585	813	90	1570	20
2900	2900	345	1720	823	91	1606	21
3000	3000	345	1720	856	94	1655	21
3100	3100	345	1771	891	96	1701	23
3200	3200	345	1832	912	98	1770	22
3300	3300	345	1929	950	101	1833	21
3400	3400	345	1974	985	103	1888	22
3500	3500	345	2008	996	107	1940	22
3600	3600	345	2077	1027	109	2000	23
3700	3700	345	2141	1060	112	2055	22
3800	3800	345	2205	1089	114	2105	23
3900	3900	345	2250	1125	117	2155	22
4000	4000	345	2307	1148	120	2206	24
